-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Hourly Data 
Dates (month/day/year): 01/29/2020 through 02/02/2020 
Location: Latitude  -26.2477   Longitude -48.643 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 214.79 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
ALLSKY_SFC_SW_DWN     CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (Wh/m^2) 
CLRSKY_SFC_SW_DWN     CERES SYN1deg Clear Sky Surface Shortwave Downward Irradiance (Wh/m^2) 
T2M                   MERRA-2 Temperature at 2 Meters (C) 
WS10M                 MERRA-2 Wind Speed at 10 Meters (m/s) 
WD10M                 MERRA-2 Wind Direction at 10 Meters (Degrees) 
-END HEADER-
YEAR,MO,DY,HR,ALLSKY_SFC_SW_DWN,CLRSKY_SFC_SW_DWN,T2M,WS10M,WD10M
2020,2,1,19,0.0,0.0,22.45,1.37,120.8
2020,2,1,20,0.0,0.0,22.12,1.32,123.12
2020,2,1,21,0.0,0.0,21.95,1.3,125.22
2020,2,1,22,0.0,0.0,21.8,1.11,128.98
2020,2,1,23,0.0,0.0,21.67,0.98,118.61
2020,2,2,0,0.0,0.0,21.55,0.91,99.38
2020,2,2,1,0.0,0.0,21.4,0.75,90.6
2020,2,2,2,0.0,0.0,21.23,0.9,83.99
2020,2,2,3,0.0,0.0,21.16,1.01,78.34
2020,2,2,4,0.0,0.0,21.2,1.09,86.3
2020,2,2,5,0.0,0.0,21.13,1.17,99.59
2020,2,2,6,39.45,73.15,21.49,0.87,105.03
2020,2,2,7,146.52,271.2,22.26,0.6,105.12
2020,2,2,8,266.38,496.75,22.68,0.71,95.71
2020,2,2,9,311.9,700.27,23.26,0.83,100.26
2020,2,2,10,412.77,860.08,24.27,1.04,106.66
2020,2,2,11,367.5,963.4,25.29,1.22,105.64
2020,2,2,12,297.59,996.6,25.66,1.41,103.5
2020,2,2,13,254.41,961.75,25.19,1.53,102.97
2020,2,2,14,215.26,849.58,24.4,1.61,98.64
2020,2,2,15,179.52,686.73,23.74,1.62,93.04
2020,2,2,16,79.95,480.45,23.1,1.48,89.7
2020,2,2,17,59.36,256.85,22.56,1.25,95.0
2020,2,2,18,33.07,59.12,22.11,1.19,96.05
2020,2,2,19,0.0,0.0,21.83,1.15,95.09
2020,2,2,20,0.0,0.0,21.73,1.03,89.57
